"source","target","color","correlation","p"
"C16orf72","HUWE1","#ff5f62","0.479578140514399","0"
"C16orf72","BRAP","#ff5f62","0.353026330771601","0"
"C16orf72","VCPIP1","#ff5f62","0.34590990429206","0"
"C16orf72","USP7","#ff5f62","0.331007746361987","0"
"C16orf72","MDM2","#ff5f62","0.297511543950398","3.06421554796543e-14"
"C16orf72","DDX21","#ff5f62","0.280357200634848","9.43245481721533e-13"
"C16orf72","PPM1D","#ff5f62","0.272857444043865","3.92397225823515e-12"
"C16orf72","C19orf53","#ff5f62","0.268651813126806","8.56381632274861e-12"
"C16orf72","CCDC12","#ff5f62","0.265395188463901","1.55275792224074e-11"
"C16orf72","NCL","#ff5f62","0.24825010885643","3.12202708130371e-10"
"C16orf72","SASS6","#ff5f62","0.247979737253269","3.26759952429256e-10"
"C16orf72","NSUN5","#ff5f62","0.238314489736861","1.60872470900131e-09"
"C16orf72","CEP295","#ff5f62","0.227027503629912","9.4993461985382e-09"
"C16orf72","MDM4","#ff5f62","0.22561346791433","1.17901883811555e-08"
"C16orf72","TRIP12","#ff5f62","0.222116466966316","1.99947300938419e-08"
"C16orf72","COPS7A","#ff5f62","0.215727027176733","5.13303850535607e-08"
"C16orf72","HSF1","#ff5f62","0.214136110369668","6.46240061463743e-08"
"C16orf72","ZNF593","#ff5f62","0.213493330203098","7.08903731272414e-08"
"C16orf72","HSPA14","#ff5f62","0.212655115577438","7.99490764702426e-08"
"C16orf72","CAND1","#ff5f62","0.205321086742392","2.24255928937822e-07"
"C16orf72","PPM1G","#ff5f62","0.20418044191819","2.62398014649889e-07"
"C16orf72","TENT4B","#ff5f62","0.199293568829492","5.0913844740208e-07"
"C16orf72","ZCCHC7","#ff5f62","0.198927999676434","5.34670019591843e-07"
"C16orf72","PSME3","#ff5f62","0.197930553818454","6.10751575980117e-07"
"C16orf72","RRS1","#ff5f62","0.197590773623765","6.38968992161537e-07"
"C16orf72","TBK1","#ff5f62","0.196268685365829","7.61164154594596e-07"
"C16orf72","TP53BP1","#5fafff","-0.307493765380112","3.77475828372553e-15"
"C16orf72","TP53","#5fafff","-0.306141290169688","4.88498130835069e-15"
"C16orf72","CHEK2","#5fafff","-0.2611513925682","3.33133520769024e-11"
"C16orf72","USP28","#5fafff","-0.247777440087308","3.38082228878989e-10"
"C16orf72","GGPS1","#5fafff","-0.214004440166049","6.58623882099363e-08"
"C16orf72","GTF3C2","#5fafff","-0.205255033787775","2.26310576501021e-07"
"C16orf72","ATM","#5fafff","-0.204635541874005","2.46484565868954e-07"
"C16orf72","CDKN1A","#5fafff","-0.19975484562784","4.78592784958209e-07"
"C16orf72","CPM","#5fafff","-0.195387773029685","8.5473269395564e-07"
"C16orf72","GTF2A2","#5fafff","-0.187646780645112","2.31475486667243e-06"
"C16orf72","TOMM20","#5fafff","-0.186138095486748","2.79765539801247e-06"
"C16orf72","SUN5","#5fafff","-0.183422730221997","3.91954444056708e-06"
"C16orf72","FRS2","#5fafff","-0.181791353620468","4.7884017746469e-06"
"C16orf72","RNFT1","#5fafff","-0.172843338007106","1.39162807579751e-05"
"C16orf72","RPL22","#5fafff","-0.171399283564138","1.64494686472061e-05"
"C16orf72","FGFR1","#5fafff","-0.169764782072329","1.98446744223979e-05"
"HUWE1","C16orf72","#ff5f62","0.479578140514399","0"
"HUWE1","VCPIP1","#ff5f62","0.420170930925919","0"
"HUWE1","USP7","#ff5f62","0.264365412219441","9.19371245799994e-11"
"BRAP","C16orf72","#ff5f62","0.353026330771601","0"
"BRAP","MDM2","#ff5f62","0.311823865375643","1.33226762955019e-15"
"BRAP","USP7","#ff5f62","0.26563158936048","1.48752121731377e-11"
"BRAP","MDM4","#ff5f62","0.230948445864531","5.17947618128289e-09"
"VCPIP1","HUWE1","#ff5f62","0.420170930925919","0"
"VCPIP1","C16orf72","#ff5f62","0.34590990429206","0"
"VCPIP1","OTUD5","#ff5f62","0.207590438965017","4.36234044665085e-07"
"USP7","MDM2","#ff5f62","0.517080777899907","0"
"USP7","PPM1D","#ff5f62","0.441558911829056","0"
"USP7","C16orf72","#ff5f62","0.331007746361987","0"
"MDM2","PPM1D","#ff5f62","0.6762610435838","0"
"MDM2","MDM4","#ff5f62","0.60992505317272","0"
"MDM2","USP7","#ff5f62","0.517080777899907","0"
"DDX21","HSPA14","#ff5f62","0.4476421498542","0"
"DDX21","NCL","#ff5f62","0.412050815948027","0"
"DDX21","C19orf53","#ff5f62","0.309992395802574","2.22044604925031e-15"
"DDX21","NSUN5","#ff5f62","0.281155933012761","8.08242361927114e-13"
"DDX21","C16orf72","#ff5f62","0.280357200634848","9.43245481721533e-13"
"PPM1D","MDM2","#ff5f62","0.6762610435838","0"
"PPM1D","MDM4","#ff5f62","0.59521881270301","0"
"PPM1D","USP7","#ff5f62","0.441558911829056","0"
"PPM1D","WDR89","#ff5f62","0.407351877044881","0"
"PPM1D","DCLRE1B","#ff5f62","0.397153868234029","0"
"C19orf53","ZNF593","#ff5f62","0.311017960283836","1.77635683940025e-15"
"C19orf53","DDX21","#ff5f62","0.309992395802574","2.22044604925031e-15"
"CCDC12","C16orf72","#ff5f62","0.265395188463901","1.55275792224074e-11"
"NCL","DDX21","#ff5f62","0.412050815948027","0"
"NCL","HSPA14","#ff5f62","0.384375316946436","0"
"NCL","PINX1","#ff5f62","0.291697436826351","1.00364161426114e-13"
"NCL","NOLC1","#ff5f62","0.278920011744752","1.2436718321851e-12"
"SASS6","TEDC1","#ff5f62","0.405513076213174","0"
"NSUN5","DDX21","#ff5f62","0.281155933012761","8.08242361927114e-13"
"NSUN5","NOLC1","#ff5f62","0.239406852991909","1.34811317664685e-09"
"NSUN5","C16orf72","#ff5f62","0.238314489736861","1.60872470900131e-09"
"CEP295","TEDC1","#ff5f62","0.338012656563602","0"
"MDM4","MDM2","#ff5f62","0.60992505317272","0"
"MDM4","PPM1D","#ff5f62","0.59521881270301","0"
"MDM4","WDR89","#ff5f62","0.42610573985706","0"
"MDM4","PPM1G","#ff5f62","0.366768058583547","0"
"MDM4","DCLRE1B","#ff5f62","0.364984232386173","0"
"TRIP12","OTUD5","#ff5f62","0.27002624381135","3.50264262038991e-11"
"TRIP12","C16orf72","#ff5f62","0.222116466966316","1.99947300938419e-08"
"COPS7A","COPS4","#ff5f62","0.292043848529603","9.37028232783632e-14"
"COPS7A","C16orf72","#ff5f62","0.215727027176733","5.13303850535607e-08"
