"gene","type","color"
"C16orf72","source","#ffbf8f"
"HUWE1","primary","#e6dcfc"
"BRAP","primary","#e6dcfc"
"VCPIP1","primary","#e6dcfc"
"USP7","primary","#e6dcfc"
"MDM2","primary","#e6dcfc"
"DDX21","primary","#e6dcfc"
"PPM1D","primary","#e6dcfc"
"C19orf53","primary","#e6dcfc"
"CCDC12","primary","#e6dcfc"
"NCL","primary","#e6dcfc"
"SASS6","primary","#e6dcfc"
"NSUN5","primary","#e6dcfc"
"CEP295","primary","#e6dcfc"
"MDM4","primary","#e6dcfc"
"TRIP12","primary","#e6dcfc"
"COPS7A","primary","#e6dcfc"
"HSF1","primary","#e6dcfc"
"ZNF593","primary","#e6dcfc"
"HSPA14","primary","#e6dcfc"
"CAND1","primary","#e6dcfc"
"PPM1G","primary","#e6dcfc"
"TENT4B","primary","#e6dcfc"
"ZCCHC7","primary","#e6dcfc"
"PSME3","primary","#e6dcfc"
"RRS1","primary","#e6dcfc"
"TBK1","primary","#e6dcfc"
"TP53BP1","primary","#e6dcfc"
"TP53","primary","#e6dcfc"
"CHEK2","primary","#e6dcfc"
"USP28","primary","#e6dcfc"
"GGPS1","primary","#e6dcfc"
"GTF3C2","primary","#e6dcfc"
"ATM","primary","#e6dcfc"
"CDKN1A","primary","#e6dcfc"
"CPM","primary","#e6dcfc"
"GTF2A2","primary","#e6dcfc"
"TOMM20","primary","#e6dcfc"
"SUN5","primary","#e6dcfc"
"FRS2","primary","#e6dcfc"
"RNFT1","primary","#e6dcfc"
"RPL22","primary","#e6dcfc"
"FGFR1","primary","#e6dcfc"
"OTUD5","secondary","#dedede"
"WDR89","secondary","#dedede"
"DCLRE1B","secondary","#dedede"
"PINX1","secondary","#dedede"
"NOLC1","secondary","#dedede"
"TEDC1","secondary","#dedede"
"COPS4","secondary","#dedede"
"ZNHIT3","secondary","#dedede"
"C1D","secondary","#dedede"
"EXOSC1","secondary","#dedede"
"TBCE","secondary","#dedede"
"GTF2H2","secondary","#dedede"
"EXTL3","secondary","#dedede"
"EXT2","secondary","#dedede"
