gene,type,color,id,name,aliases,median,min,max,Q25,Q75
ATM,primary,#e6dcfc,472,ATM serine/threonine kinase,"AT1,ATA,ATC,ATD,ATDC,ATE,TEL1,TELO1",0.0554048535157,-1.10361890752,0.933099171038,-0.0620579324432,0.165726836417
BRAP,primary,#e6dcfc,8315,BRCA1 associated protein,"BRAP2,IMP,RNF52",0.170006311361,-0.40305854498,0.987134396182,0.0233073664483,0.332466711692
C16orf72,source,#ffbf8f,29035,chromosome 16 open reading frame 72,PRO0149,0.5531119997,-1.19710666405,1.65450719129,0.303191955207,0.776850521536
C19orf53,primary,#e6dcfc,28974,chromosome 19 open reading frame 53,"HSPC023,LYDG10",0.834242702215,0.0293370882875,1.92351517421,0.683307686692,0.993462694797
C1D,secondary,#dedede,10438,C1D nuclear receptor corepressor,"LRP1,Rrp47,SUN-CoR,SUNCOR,hC1D",0.560219212321,-0.0735087549847,1.29317676463,0.421355450206,0.703361109045
CAND1,primary,#e6dcfc,55832,cullin associated and neddylation dissociated 1,"TIP120,TIP120A",0.457087827816,-0.837925236848,1.17788450521,0.283202647611,0.625501283143
CCDC12,primary,#e6dcfc,151903,coiled-coil domain containing 12,NA,0.399462537719,-0.192183949543,1.11069508828,0.283589626702,0.507000529568
CDKN1A,primary,#e6dcfc,1026,cyclin dependent kinase inhibitor 1A,"CAP20,CDKN1,CIP1,MDA-6,P21,SDI1,WAF1,p21CIP1",-0.167482267321,-2.76525024984,0.61748212832,-0.32526483003,-0.069281579354
CEP295,primary,#e6dcfc,85459,centrosomal protein 295,KIAA1731,0.301636825035,-0.342952360731,0.814384561704,0.203037967432,0.410517591795
CHEK2,primary,#e6dcfc,11200,checkpoint kinase 2,"CDS1,CHK2,HuCds1,LFS2,PP1425,RAD53,hCds1",-0.236102858715,-1.6512190866,0.340781860238,-0.338117927713,-0.148796757112
COPS4,secondary,#dedede,51138,COP9 signalosome subunit 4,"CSN4,SGN4",1.10814488213,0.433580491119,1.80600582515,0.993333320763,1.24746467573
COPS7A,primary,#e6dcfc,50813,COP9 signalosome subunit 7A,"CSN7,CSN7A,SGN7a",0.067100133402,-0.492798961428,0.73975961971,-0.0132370078458,0.150665197746
CPM,primary,#e6dcfc,1368,carboxypeptidase M,NA,-0.00331871577984,-0.893308878113,1.53472396262,-0.0587237644561,0.066280148144
DCLRE1B,secondary,#dedede,64858,DNA cross-link repair 1B,"APOLLO,SNM1B,SNMIB",0.862114332006,0.0196545373929,1.94449388896,0.649521398101,1.08319522308
DDX21,primary,#e6dcfc,9188,DExD-box helicase 21,"GUA,GURDB,RH-II/GU,RH-II/GuA",0.771358943698,0.208037157239,1.54091768438,0.635462481895,0.946293641705
EXOSC1,secondary,#dedede,51013,exosome component 1,"CGI-108,CSL4,Csl4p,SKI4,Ski4p,p13",0.735071470862,0.130857621737,1.33787401384,0.58433886528,0.886770641247
EXT2,secondary,#dedede,2132,exostosin glycosyltransferase 2,"SOTV,SSMS",0.29559038106,-0.199927606173,1.16621043377,0.171529617003,0.45185024098
