Gene,Stable_ID,Band,GCpercent,Start,End,Strand,Chromosome
FDFT1,ENSG00000079459,p23.1,44.37,11795573,11839304,1.0,8
GPX5,ENSG00000224586,p22.1,41.09,28525881,28534955,1.0,6
SOD2,ENSG00000285441,q25.3,42.38,159679119,159762529,-1.0,6
SQSTM1,ENSG00000161011,q35.3,54.99,179806398,179838078,1.0,5
MATR3,ENSG00000280987,q31.2,40.63,139273752,139331671,1.0,5
SPAG11B,ENSG00000164871,p23.1,44.76,7442684,7463674,-1.0,8
PDE11A,ENSG00000128655,q31.2,39.16,177623244,178072777,-1.0,2
HSPA14,ENSG00000187522,p13,39.43,14838306,14871741,1.0,10
VARS2,ENSG00000137411,p21.33,54.92,30914205,30926459,1.0,6
ARHGAP11B,ENSG00000284906,q13.2,39.43,30624548,30685606,1.0,15
GPX6,ENSG00000198704,p22.1,42.59,28503296,28528215,-1.0,6
GOLGA6L2,ENSG00000174450,q11.2,51.44,23439038,23447243,-1.0,15
OR4N4,ENSG00000183706,q11.2,47.0,22094522,22095472,1.0,15
OR4M2,ENSG00000274102,q11.2,36.0,22070241,22083221,1.0,15
MUC21,ENSG00000204544,p21.33,50.08,30983718,30989903,1.0,6
DUX4,ENSG00000260596,q35.2,49.56,190173774,190185942,1.0,4
HNRNPCL4,ENSG00000179412,p36.21,43.95,13163914,13165631,-1.0,1
LY6G6D,ENSG00000244355,p21.33,48.02,31715356,31717804,1.0,6
A1CF,ENSG00000148584,q11.23,36.24,50799409,50885675,-1.0,10
A2M,ENSG00000175899,p13.31,37.18,9067664,9116229,-1.0,12
A2ML1,ENSG00000166535,p13.31,44.23,8822621,8887001,1.0,12
A3GALT2,ENSG00000184389,p35.1,54.19,33306766,33321098,-1.0,1
A4GALT,ENSG00000128274,q13.2,52.39,42692121,42721298,-1.0,22
A4GNT,ENSG00000118017,q22.3,42.68,138123713,138132390,-1.0,3
AACS,ENSG00000081760,q24.31,51.2,125065434,125143333,1.0,12
AADAC,ENSG00000114771,q25.1,35.3,151814073,151828488,1.0,3
AADACL2,ENSG00000197953,q25.1,35.3,151733916,151761339,1.0,3
AADACL3,ENSG00000188984,p36.21,46.11,12716110,12728760,1.0,1
AADACL4,ENSG00000204518,p36.21,47.24,12644547,12667086,1.0,1
AADAT,ENSG00000109576,q33,38.78,170060222,170091699,-1.0,4
AAK1,ENSG00000115977,p13.3,41.95,69457997,69674349,-1.0,2
AAMDC,ENSG00000087884,q14.1,41.82,77821109,77918432,1.0,11
AANAT,ENSG00000129673,q25.1,53.01,76453351,76470117,1.0,17
AAR2,ENSG00000131043,q11.23,47.41,36236459,36270918,1.0,20
AARD,ENSG00000205002,q24.11,43.16,116938207,116944487,1.0,8
AASDH,ENSG00000157426,q12,38.98,56338287,56387508,-1.0,4
AASDHPPT,ENSG00000149313,q22.3,36.56,106075501,106098699,1.0,11
AATK,ENSG00000181409,q25.3,61.51,81110487,81166221,-1.0,17
ABAT,ENSG00000183044,p13.2,47.34,8674596,8784575,1.0,16
ABCA1,ENSG00000165029,q31.1,43.42,104781006,104928155,-1.0,9
ABCA2,ENSG00000107331,q34.3,66.66,137007234,137028922,-1.0,9
ABCA3,ENSG00000167972,p13.3,53.03,2275881,2340746,-1.0,16
ABCA4,ENSG00000198691,p22.1,46.44,93992834,94121148,-1.0,1
ABCA5,ENSG00000154265,q24.3,34.61,69244311,69327244,-1.0,17
ABCA6,ENSG00000154262,q24.3,36.3,69078702,69141895,-1.0,17
ABCA8,ENSG00000141338,q24.2,36.81,68867289,68955392,-1.0,17
ABCA9,ENSG00000154258,q24.2,37.68,68974488,69060949,-1.0,17
ABCA10,ENSG00000154263,q24.3,36.13,69147214,69244846,-1.0,17
ABCA13,ENSG00000179869,p12.3,38.84,48171458,48647497,1.0,7
ABCB1,ENSG00000085563,q21.12,37.02,87503017,87713323,-1.0,7
ABCB4,ENSG00000005471,q21.12,38.6,87401696,87480435,-1.0,7
ABCB5,ENSG00000004846,p21.1,37.73,20615207,20777038,1.0,7
ABCB7,ENSG00000131269,q13.3,36.0,75051048,75156732,-1.0,X
ABCB8,ENSG00000197150,q36.1,57.04,151028422,151047782,1.0,7
ABCB9,ENSG00000150967,q24.31,52.47,122920951,122981649,-1.0,12
ABCB10,ENSG00000135776,q42.13,43.63,229516582,229558707,-1.0,1
ABCC2,ENSG00000023839,q24.2,45.05,99782640,99852594,1.0,10
ABCC3,ENSG00000108846,q21.33,51.95,50634777,50692253,1.0,17
ABCC4,ENSG00000125257,q32.1,42.34,95019835,95301475,-1.0,13
ABCC5,ENSG00000114770,q27.1,44.68,183919934,184017939,-1.0,3
ABCC8,ENSG00000006071,p15.1,50.02,17392498,17476879,-1.0,11
ABCC9,ENSG00000069431,p12.1,36.12,21797401,21942529,-1.0,12
ABCC11,ENSG00000121270,q12.1,45.62,48166910,48247568,-1.0,16
ABCC12,ENSG00000140798,q12.1,47.26,48081006,48156018,-1.0,16
ABCD3,ENSG00000117528,p21.3,37.07,94418389,94518666,1.0,1
ABCE1,ENSG00000164163,q31.21,34.74,145098288,145129524,1.0,4
ABCF1,ENSG00000204574,p21.33,47.94,30571393,30597179,1.0,6
ABCF2,ENSG00000033050,q36.1,48.3,151211484,151227205,-1.0,7
ABCF3,ENSG00000161204,q27.1,51.95,184186023,184194012,1.0,3
ABCG2,ENSG00000118777,q22.1,41.38,88090150,88231628,-1.0,4
ABCG4,ENSG00000172350,q23.3,54.46,119149052,119162653,1.0,11
ABHD1,ENSG00000143994,p23.3,50.81,27123789,27130812,1.0,2
ABHD3,ENSG00000158201,q11.2,42.44,21650901,21704780,-1.0,18
ABHD4,ENSG00000100439,q11.2,48.25,22598237,22613215,1.0,14
ABHD5,ENSG00000011198,p21.33,40.26,43690108,43734371,1.0,3
ABHD8,ENSG00000127220,p13.11,54.9,17292131,17310236,-1.0,19
ABHD10,ENSG00000144827,q13.2,35.85,111979010,111993368,1.0,3
